symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SORT1	0.61531218263983	0.9684111405318894	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8746135469610772	No data	No data	No data	1	0	1	1	1	0.5246699999999997	No data	-0.8749739529068556	-0.101334915822818	0	No data	No data	0	0.5	-1
PCSK9	0.7437074214033449	0.9681610788712554	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9365851921644013	No data	No data	No data	No data	No data	No data	0.9465686678177634	No data	No data	1	0	1	1	1	1	0	No data	0.48978953948739323	-0.744774696897267	0	No data	No data	0	1	0.5
APOE	0.8218996413193651	0.965318557964391	No data	No data	0.9066612367713315	No data	0.607930797611621	0.9471757543886921	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9658755616799635	No data	0.6096937061681658	No data	0	1	0	0	0	0	No data	0.1554490518858096	-0.9832509398565298	0	-1	No data	0	0.75	-1
CELSR2	0.5930975663862565	0.9650657340881666	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2106945375872939	No data	No data	No data	0	0	0	0	0	0.7793349999999997	No data	-0.8222546363825797	0	0	No data	No data	0	0.5	0
JCAD	0.587237054688711	0.9500337935622946	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3185314133921099	No data	No data	No data	0	0	0	0	0	0	No data	-0.5267764117524485	-0.5862804335650681	0	No data	No data	No data	-1	0
FES	0.5771674669237026	0.9475433123891082	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03706689168770857	No data	No data	No data	0	0	1	1	0	0.5316299999999998	No data	-0.08095436549281099	-0.9347941848828836	0	No data	-1	0	0.5	-1
ZC3HC1	0.5826966507136722	0.9431188200485419	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3074584882275271	No data	No data	No data	0	0	0	0	0	0.25298999999999977	No data	-0.3152740154198791	-0.7566778295797835	0	No data	No data	No data	-1	-1
LPL	0.6340869623685922	0.9416244845540852	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9107255161829472	No data	0.41365806775152736	No data	0	1	1	1	0	0.6210549999999998	No data	0.228068347572411	-0.9102451538647246	0	-1	No data	0	0.5	0
HHIPL1	0.575542331449571	0.9405322483902813	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12382368259686699	No data	No data	No data	0	1	0	0	0	0.12404000000000011	No data	-0.07480725151073142	-0.6823217603498793	0	No data	No data	0	0.5	0
FGF5	0.5720423650514088	0.9367849285270906	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08362650062723494	No data	No data	No data	0	1	0	0	0	0.2164200000000001	No data	0.8967493227755783	0	0	No data	No data	0	0.5	0.5
HNF1A	0.5850132928750283	0.9325573742364917	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5949014133806506	No data	No data	No data	0	0	0	0	0	0.7305849999999999	No data	-0.7157741196082517	-0.9498188453850278	0	No data	-1	0	0.75	0.5
FURIN	0.5843025369616941	0.9311120111468846	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6004258850221148	No data	No data	No data	0	0	1	1	0	0.6914349999999999	No data	-0.8972702646384664	-0.8899847875022523	0	No data	No data	0	0.5	-1
ARHGAP26	0.5640353771059934	0.9277953663836744	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8484850000000002	No data	-0.790060429256095	-0.11377769904932167	0	No data	-1	0	-1	-1
LIPA	0.5733005183850995	0.9261144630327757	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33842714448225736	No data	No data	No data	0	0	1	1	0	0	No data	0.11096061679516556	-0.9499648421396492	0	No data	No data	-0.010025000000000084	0.5	-1
FN1	0.5801035616286246	0.9249467472754163	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5855912508179221	No data	No data	1	0	1	0	1	0	0.6023400000000002	No data	-0.7057720358408002	-0.962909460361478	0	No data	No data	0	0.5	0
GUCY1A1	0.5846949395057048	0.9237657468868136	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1473387835878165	No data	No data	No data	No data	No data	No data	0.05302507512501362	No data	No data	1	0	0	1	1	0	0.49275499999999967	No data	-0.08699729110231302	-0.8817031133364256	0	No data	No data	0	-1	-1
SCARB1	0.5912518698886495	0.9183395832419448	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8605208266780388	No data	0.5039462611161454	No data	0	0	1	1	0	0	0	-0.4720775161491978	-0.9411719079190836	0	No data	No data	0	1	0
LDLR	0.7448562510088852	0.911995002526553	0.973999631861771	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7036162425071114	No data	0.6078139736436918	No data	0	0	1	1	1	0	No data	0.26776411752448426	-0.9648662462087687	0	-1	No data	0	0.5	-1
APOB	0.5773489549758225	0.9015925351133752	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9620531184980978	No data	No data	1	0	1	0	1	0	0	No data	-0.5461554490518858	-0.9107803606803258	0	-1	No data	No data	0.75	0.5
ABCG8	0.5549078637423854	0.8997618186479435	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26038962665993676	No data	No data	No data	0	0	0	0	0	0.09361000000000033	No data	0.5119816628464264	-0.9171419964815197	0	No data	No data	0	0.75	0.5
PLPP3	0.5584604936303473	0.8989489612128636	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39352290343134483	No data	No data	No data	0	0	0	0	0	0.742765	No data	-0.6483642425505314	-0.8850981671673643	0	No data	No data	0	-1	-1
APOA5	0.570580457317308	0.8968022997656777	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8351845315473495	No data	No data	No data	0	1	0	0	0	0	No data	0.6799333194415502	0	0	-1	No data	0	1	0.5
ANGPTL4	0.5703086571234358	0.8944183502494525	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8739217082660974	No data	No data	No data	0	1	0	0	0	0	No data	0.43456970202125444	-0.9252563757504362	0	No data	No data	0	0.5	0
ITGB5	0.5442407734736838	0.8932758583485396	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03917776251274891	No data	No data	0.75	1	0	1	1	0	0.39299000000000034	0	-0.2513023546572203	0	0	No data	No data	0	-1	-1
MRAS	0.5467196473040765	0.889537036944978	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19550537503232582	No data	No data	No data	0	0	0	0	0	0.8317300000000003	No data	-0.6699312356740987	-0.2431114717674604	0	No data	No data	0	0.5	-1
COL4A1	0.5487230053470313	0.8891848648549475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2684562540223448	No data	No data	1	0	1	0	0	0	0.5386450000000004	No data	-0.9598874765576162	-0.9703572977848751	0	No data	No data	-0.035350000000000034	0.5	0
LPA	0.5685074973114221	0.8881034077423282	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9409651359463567	No data	No data	0.75	No data	No data	0	0	0	No data	No data	0.6301312773494478	No data	0	-1	No data	0	1	0.5
ADAMTS7	0.5626794956270916	0.8863416827438548	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7844672312662498	No data	No data	No data	0	1	0	0	0	0	1	-0.3228797666180454	-0.8803122974534624	0	No data	No data	0	1	0
TGFB1	0.5664765966088051	0.8852693449167257	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9308328435941012	No data	No data	1	0	1	0	1	0	0.5	No data	-0.3610127109814545	-0.9811075698722849	0	-1	No data	0	-1	0
ZNF32	0.5380575671787388	0.8850638416290252	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7435899999999996	No data	-0.019795790789747914	0	0	No data	No data	0	-1	-1
PDE3A	0.7017178917747594	0.8843598774021375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9326798226640981	No data	No data	No data	No data	No data	No data	0.02262853524443256	No data	No data	1	1	0	1	1	0	0.1893099999999997	No data	-0.47895394873932073	0	0	-1	No data	0	0.5	0
DAB2IP	0.54389050644733	0.883057960623825	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23201246377723364	No data	No data	No data	1	0	1	1	0	0.8696399999999997	No data	-0.886955615753282	No data	0	No data	No data	0	-1	0
HP	0.5584819316174802	0.8747051213234173	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8791049784398869	No data	No data	No data	0	1	0	0	0	0	No data	0.13565326109606168	-0.7744650547240031	0	No data	No data	-0.45197000000000004	1	0
SERPINH1	0.530100848771669	0.8686151376742396	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06721012706928477	No data	No data	No data	0	0	0	1	0	0.7368400000000002	No data	-0.2006668055844968	-0.5489623301856178	0	No data	No data	0	-1	-1
CETP	0.6394840889786936	0.8673560696451045	No data	0.015198269940290528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6545629524355938	No data	No data	No data	No data	No data	No data	0.8980230930425595	No data	No data	0.75	0	1	1	1	1	No data	1	0.6149197749531152	No data	0	-1	No data	0	0.75	0
TNS1	0.5275297566245477	0.8659226002838563	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	No data	0	0	0	0	0	0.40728500000000023	No data	-0.6762867264013337	-0.85152693156086	0	No data	No data	0	-1	-1
SLC22A1	0.5284730370103782	0.8658784065486113	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06839221473130737	No data	No data	No data	1	0	1	1	0	0	No data	0.7334861429464472	-0.6675627141107939	0	-1	No data	-0.25090250000000014	1	0.5
COL4A2	0.532215336912288	0.8649085754109771	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21090482096803664	No data	No data	1	0	1	0	0	0	0.18224500000000035	No data	-0.39560325067722446	-0.8622969138583105	0	No data	No data	0	0.5	0
ZPR1	0.5351164825699251	0.86288524546041	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34681470625586996	No data	No data	No data	0	0	0	0	0	0.5206949999999999	No data	0.03344446759741615	-0.43284059215702886	-1	No data	No data	No data	-1	-1
PRDM16	0.5288414009292366	0.8620216237301306	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1576464846110621	No data	No data	No data	0	0	0	0	0	0.4161450000000002	No data	-0.9021671181496145	-0.9071298549857939	0	No data	-1	0	0.5	0
SERPINA1	0.5341359434256502	0.8615243443358351	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34177448000829685	No data	No data	No data	0	1	0	0	1	0	No data	0.7015003125651178	-0.4025761376112691	0	No data	No data	0	1	-1
FLT1	0.5463836035575492	0.861337563972584	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	No data	No data	No data	0.1451640560473399	No data	No data	1	1	1	1	1	0	0.08445499999999981	0	-0.8306938945613669	-0.9299248067901646	0	-1	No data	0	1	0
SH2B3	0.5414874302268475	0.8595463815525857	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6231864870087744	No data	No data	No data	0	0	0	0	0	0	No data	-0.13252760991873302	0	0	No data	-1	0	0.5	-1
GMDS	0.5211930422669014	0.8573229787247391	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	0.8521500000000003	No data	-0.7943321525317775	-0.2604845749565121	0	No data	No data	0	0.5	-1
FDX1	0.5254538568421184	0.855791111805991	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1708116671622652	No data	No data	No data	0	0	0	0	0	0	No data	0.5077099395707438	0	0	No data	No data	0	1	-1
FIGN	0.519407607627613	0.8543860743166997	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8945999999999998	No data	-0.7839133152740154	-0.8465345878408598	0	No data	No data	0	-1	0
KCNK5	0.5212322852412894	0.853283997553888	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08207065767756885	No data	No data	No data	0	0	0	0	0	0.4689399999999999	No data	-0.4553031881642009	-0.5907693915496134	0	No data	No data	0	0.5	0
ZNF652	0.5207647484425089	0.8528189004202192	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	0	0	0	0	0	0.5462049999999998	No data	-0.6140862679724943	0	0	No data	No data	0	-1	0
STN1	0.5205359128002585	0.8514041509755597	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09675799348860818	No data	No data	No data	0	0	0	0	0	0	No data	0.3735153156907689	No data	0	No data	No data	0	-1	-1
TRIM5	0.5158611727181908	0.846880648489071	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0	No data	0.1297145238591373	0	0	No data	No data	0	-1	-1
TSPAN14	0.5136880256878772	0.843154003938597	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	No data	0	0	0	0	0	0.8703699999999998	No data	-0.7676599291519066	No data	0	No data	No data	0	-1	-1
MIA3	0.5190394287136116	0.8398514445956002	No data	0.012158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25156092073016606	No data	No data	No data	0	0	0	0	0	0	No data	-0.6860804334236299	-0.7277447890186258	0	No data	No data	0	-1	-1
IGF2R	0.510636376299449	0.8393501340110593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	1	0	0.06262499999999989	No data	-0.8742446342988123	-0.9708441465184786	0	No data	No data	No data	0.5	-1
PARP12	0.5097498193398493	0.8378918151315377	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	1	1	1	0.06561999999999983	No data	-0.1752448426755574	-0.24108653635048632	0	No data	No data	0	-1	-1
UMPS	0.5085453054473832	0.8365184120385184	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.4375	No data	0.02656803500729321	No data	0	-1	No data	No data	-1	0
SLC22A3	0.5303697396054002	0.8357149126500262	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.734060727629012	No data	No data	No data	0	0	1	1	0	0.33453500000000036	No data	0.1549281100229214	-0.26691729925385765	0	No data	No data	0	0.5	0
FER	0.504925073207098	0.8305634048987124	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.6532850000000003	No data	-0.6828505938737237	-0.6128112594269333	0	-1	No data	0	-1	-1
TCF7L2	0.5215012060401478	0.828382951417748	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5889386662830048	No data	No data	No data	0	0	1	1	0	0.7334400000000002	No data	-0.7949572827672432	-0.8839520763137076	0	-1	-1	0	-1	-1
PROCR	0.5094301459301877	0.828226025637892	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19495763612314745	No data	No data	No data	0	0	0	0	1	0	No data	0.17191081475307346	-0.6720384902591603	0	No data	No data	No data	0.5	0
MAP1S	0.5005065957781432	0.8232953450367779	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.5797041050218796	-0.4157884719002361	0	No data	No data	0	0.5	-1
ZEB2	0.5085877874923779	0.8205043857208314	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3216781211181986	No data	No data	No data	1	0	0	0	0	0.8352550000000001	No data	-0.9746822254636383	-0.6350471970727406	0	No data	No data	0	0.5	-1
FGD5	0.5011858010968352	0.8193971571315639	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10030858160591748	No data	No data	No data	1	0	0	0	0	0	No data	-0.9299854136278392	-0.9169070522568534	0	No data	No data	0	-1	0
KLF4	0.5060144374644144	0.8180963067079962	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2851803935038969	No data	No data	No data	0	0	0	0	0	0.572025	No data	-0.9183163158991456	-0.613312748241794	0	No data	-1	0	0.5	0
ABO	0.5022865605433963	0.8171806678148822	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18085168204983013	No data	No data	No data	0	1	No data	No data	No data	0	No data	No data	0	No data	-1	No data	0	0.5	0
SEMA5A	0.49556981245075415	0.8151747113284937	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7067050000000001	No data	-0.5180245884559282	-0.5716940165100484	0	No data	No data	0	-1	0
TCF21	0.5202776618552685	0.8135477399502669	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8453901501001984	No data	No data	No data	0	0	0	0	0	0.8044699999999999	No data	-0.47041050218795577	-0.9600569320360292	0	No data	No data	-0.06424500000000002	0.5	0
ABCA1	0.5228990001877275	0.8134020911574903	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9345411761666259	No data	No data	1	1	0	0	0	0	0.7655900000000002	No data	-0.5154198791414878	-0.9516484504204755	0	No data	No data	0	-1	-1
TENT5A	0.49426939897182304	0.813035629900081	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6719450000000002	No data	-0.6621171077307773	-0.7225242142652457	0	No data	No data	-0.0893675	0.75	-1
MFGE8	0.49996031933189716	0.8082694261967333	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.28254671132869963	No data	No data	0.25	0	1	0	0	0	0	No data	-0.017816211710773078	-0.5860423921280064	0	No data	No data	0	-1	-1
SLC2A12	0.49105752426566457	0.8077523398960593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.21394000000000019	No data	-0.050010418837257764	No data	0	No data	No data	0	1	0
MCF2L	0.4897401694149376	0.8049774603998417	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	0	0	0	0.3777799999999999	No data	-0.4937486976453428	-0.1317761340245982	0	No data	No data	0	0.5	0
EDNRA	0.5103776930659876	0.8042367147755911	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.2204683144233749	No data	No data	1	1	0	1	1	0	0.6135849999999998	1	-0.8180871014794748	-0.9768455394215775	0	-1	No data	0	0.5	0
ARHGAP42	0.4980779447875344	0.8034070610866695	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	0.3016552617748864	No data	0	0	0	0	0	0.6224249999999998	No data	-0.9377995415711606	-0.7671804789759029	No data	No data	No data	0	0.5	-1
PHACTR1	0.5008477986221254	0.8027744234177795	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42164348777517546	No data	No data	No data	1	0	0	0	0	0.8448300000000003	No data	0.00770993957074384	-0.22179856271377002	No data	No data	No data	0	0.5	0
MAP3K1	0.48784958532255507	0.8017156104263838	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	0.5	0	0	1	1	0	0.48412500000000025	No data	-0.8717441133569493	-0.9387443342753399	0	No data	No data	0	-1	-1
REST	0.4860864089959576	0.7983298189628192	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024908275735476142	No data	No data	No data	0	0	0	0	0	0	No data	-0.7762033757032716	-0.8407122409345177	0	No data	No data	0	-1	-1
HMGCR	0.7358139579665885	0.7964614878460929	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9968440981841677	No data	No data	No data	No data	No data	No data	0.647937813294091	No data	No data	1	0	0	1	1	1	0.6734250000000003	1	-0.8118357991248177	-0.30744733073070546	-1	-1	No data	No data	0.5	-1
SWAP70	0.48687480314184783	0.7948413233072292	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12061515894280564	No data	No data	No data	1	0	0	0	0	0.7521349999999998	No data	-0.5341737862054594	0	0	No data	No data	0	-1	-1
HDGFL1	0.4816857866217095	0.7923365430968614	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.14430089602000407	-0.4547912827212672	0	No data	No data	0	1	1
ANKRD55	0.479800574883541	0.7892355129375489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.28339	No data	-0.05313607001458642	No data	0	No data	No data	0	0.5	0.5
LIPC	0.5102492696529523	0.786719416519633	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8910036314945078	No data	0.36232675537652614	No data	0	1	1	1	0	0	No data	0.025005209418628827	-0.253206131935613	0	-1	No data	0	1	0.5
HTRA1	0.48368777437660265	0.781968785605003	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2732175066303513	No data	No data	No data	1	1	1	1	1	0.5833350000000003	No data	-0.19347780787664093	0	0	No data	No data	0	0.5	0
NBEAL1	0.5534654977525237	0.7808980302677622	0.488142619807186	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33637645041221864	No data	No data	No data	0	0	0	0	0	0.4619900000000001	No data	-0.31298187122317145	No data	0	No data	No data	0	-1	0
PSRC1	0.4857480865965191	0.7775655069637322	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4290642225730719	No data	No data	No data	0	0	0	0	0	0	No data	0.4463429881225256	No data	0	No data	No data	0	0.75	0
ARHGAP15	0.4719431678135767	0.7763106749447483	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	0.3157899999999998	No data	-0.010002083767451597	0	0	No data	No data	0	0.75	-1
PID1	0.4717483234400174	0.7759901707453808	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8156700000000001	No data	0.3570535528235048	No data	0	No data	No data	No data	-1	-1
SMAD3	0.4936170784142915	0.7739731416225987	No data	0.012158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7327702633008073	No data	No data	No data	0	0	1	1	0	1	No data	-0.6261721191914982	-0.8758774639922706	0	No data	-1	-0.7941175000000001	-1	-1
BTBD16	0.4683463338700329	0.7703941562263765	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.39529068555949154	-0.04548724762166306	0	No data	No data	0	0.5	0.5
BUD13	0.474672593503978	0.7679759090758961	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2564892775160716	No data	No data	No data	0	0	0	0	0	0	No data	-0.16784746822254637	-0.023273209169896725	-1	No data	No data	No data	-1	-1
